"Ev_MeV","1-3 eV","3-5 eV","5-7 eV","7-9 eV","9-11 eV","11-13 eV","13-15 eV","15-17 eV","17-19 eV","19-21 eV","21-23 eV","23-25 eV","25-27 eV","27-29 eV","29-31 eV","31-33 eV","33-35 eV","35-37 eV","37-39 eV","39-41 eV","41-43 eV","43-45 eV","45-47 eV","47-49 eV","49-51 eV","51-56 eV","56-61 eV","61-66 eV","66-71 eV","71-81 eV","81-120 eV"
0.23799899949974987,1.420607887587707e-17,6.751694234942445e-35,-1.7474032726336047e-35,-7.966358922957381e-35,4.403957432748091e-34,-3.6073215404523538e-34,0,1.8712876353169979e-34,-1.960702767221587e-34,8.941513190458927e-36,0,0,0,0,0,-1.1734711538118895e-34,-4.324385156769467e-33,4.441732272150657e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24141070535267634,1.4825793342813483e-17,6.46946824226036e-35,-1.6743604768442684e-35,-7.633359015547831e-35,4.21986863741218e-34,-3.4565327358573967e-34,0,1.793066378237877e-34,-8.766437416697328e-34,6.97337103845945e-34,0,0,0,0,0,-1.1244191603797293e-34,-3.5263359678730344e-33,3.6387778839110084e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2448224112056028,1.5463272834269272e-17,6.202755286163735e-35,-1.6053326038216686e-35,-7.318663020182335e-35,4.045898598998265e-34,-3.3140322969800312e-34,0,1.7191446869474961e-34,-5.379890680366082e-34,3.660745993418587e-34,0,0,0,0,0,-1.0780633940437031e-34,-3.207199048810837e-33,3.3150053882152094e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24823411705852927,1.6118768669253723e-17,5.950503971324139e-35,-1.5400475423632244e-35,-7.021030390078897e-35,3.8976681998448295e-34,-3.19556516083694e-34,0,1.6492311585757812e-34,-6.480596456282898e-34,4.8313652977071175e-34,0,0,0,0,0,-1.0342211181385783e-34,-3.8619076736408736e-33,3.965329785454732e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2516458229114557,1.6792530608078306e-17,5.711747266238404e-35,-1.47825501543408e-35,-6.739320119768963e-35,-3.6409017783114806e-35,1.0380221898080447e-34,0,1.5830577723812904e-34,-4.6294991187325165e-34,3.0464413463512293e-34,0,0,0,0,0,-9.927242587655217e-35,-3.7069533444030034e-33,3.8062257702795565e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2550575287643822,1.7484811160333878e-17,5.485594710111235e-35,-1.4197245632335238e-35,-6.472481549957952e-35,-1.3204105983075193e-34,1.967658753303314e-34,0,1.520377729824578e-34,-7.930768088115395e-35,-7.273009210130356e-35,0,0,0,0,0,-9.534180503174848e-35,-4.359521337840897e-33,4.454863142872647e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25846923461730864,1.8195859892913486e-17,5.27122543173069e-35,-1.3642437364129556e-35,-6.219546130460337e-35,-8.98270067538181e-36,7.117816197998516e-35,0,1.4609635196920657e-34,-7.931780444948433e-34,6.470816925256373e-34,0,0,0,0,0,-9.161598221321581e-35,-3.361676045708014e-33,3.4532920279212315e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2618809404702351,1.8895779611586064e-17,1.5074842411012432e-20,-1.3116164751292596e-35,-5.97962003035277e-35,-8.636182730780847e-36,6.843238303430851e-35,0,1.4046051822303577e-34,-1.367674190090802e-34,-3.6930992139550014e-36,0,0,0,0,0,-8.808179099429574e-35,-3.8753735180325635e-33,3.963455309026861e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2652926463231616,1.9540915121635755e-17,6.717706428142986e-20,-1.2616616527038928e-35,-5.7518774985597e-35,2.047316982670984e-34,-1.472129232815014e-34,0,1.3511087495562008e-34,-4.732890630172743e-34,3.381781880616548e-34,0,0,0,0,0,-8.472706778712141e-35,-3.9268616098869645e-33,4.011588677674088e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.268704352176088,2.0132832532602726e-17,1.5564906121762623e-19,-1.214211765318873e-35,-5.535554890216826e-35,1.970319350174995e-34,-1.4167638611533122e-34,0,1.3002948424568121e-34,-4.554891142809376e-34,3.2545963003525686e-34,0,0,0,0,0,-8.154056384896503e-35,-4.291245295500107e-33,4.372785859349075e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
